state,stateImg,parties,title,href,dateFiled,dateDecided,excerpt,electionAdministration,felonyDisenfranchisement,inPersonVoting,postElectionLitigation,redistrictingLitigation,registration,voteByMail,victory,caseStatus
Texas,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-texas-01-1.png,"Lunceford v. Craft","Texas Harris County 189th Judicial District Election Contest","https://www.democracydocket.com/cases/texas-harris-county-189th-judicial-district-election-contest/",2022-12-07,2023-11-09,"Election contest filed by Erin Elizabeth Lunceford, the Republican candidate for the 189th Judicial District Court of Harris County, Texas, against her Democratic opponent Tamika Craft.",false,false,false,true,false,false,false,true,undefined
Oregon,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-oregon-01-1.png,"Linthicum v. Wagner","Oregon Republican State Senators Disqualification Challenge (Federal Court)","https://www.democracydocket.com/cases/oregon-republican-state-senators-disqualification-challenge-federal-court/",2023-11-06,undefined,"Lawsuit filed on behalf of Republican state senators, committees and voters challenging a voter-approved amendment that disqualifies lawmakers with 10 or more unexcused absences from running for reelection.",false,false,false,false,false,false,false,false,Filed
Vermont,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-vermont-01.png,"Weston v. City of Winooski","Vermont Winooski Noncitizen Voting Challenge","https://www.democracydocket.com/cases/vermont-winooski-noncitizen-voting-challenge/",2023-03-09,2023-11-06,"Lawsuit filed by the Republican National Committee, the Vermont Republican Party and Vermont voters challenging a statute that authorizes noncitizens in Winooski, Vermont, to vote on referendums involving the city’s school board and education budget as well as in municipal elections.",false,false,false,false,false,true,false,true,Decided
Washington,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-washington-01.png,"Washington State Alliance for Retired Americans v. Hobbs","Washington Durational Residency Requirement Challenge","https://www.democracydocket.com/cases/washington-durational-residency-requirement-challenge/",2023-11-06,undefined,"Lawsuit filed on behalf of Washington State Alliance for Retired Americans challenging a Washington law that requires voters to live in the state for at least 30 days before Election Day.",false,false,false,false,false,true,false,false,Filed
New Hampshire,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-newhampshire-01-1.png,"Espitia v. Scanlan","New Hampshire Election Day Registration Law Challenge (Espitia)","https://www.democracydocket.com/cases/new-hampshire-election-day-registration-law-challenge-espitia/",2022-06-21,2023-11-03,"Lawsuit filed on behalf of New Hampshire voters against New Hampshire Secretary of State David Scanlan (R) challenging Senate Bill 418, a recently enacted voter suppression law.",false,false,false,false,false,true,false,false,Decided
New Hampshire,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-newhampshire-01-1.png,"603 Forward v. Scanlan","New Hampshire Election Day Registration Law Challenge (603 Forward)","https://www.democracydocket.com/cases/new-hampshire-election-day-registration-law-challenge/",2022-06-17,2023-11-03,"Lawsuit filed on behalf of 603 Forward, Open Democracy and a New Hampshire voter against the New Hampshire secretary of state challenging Senate Bill 418.",false,false,false,false,false,true,false,false,Decided
North Dakota,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-northdakota-01.png,"Walen v. Burgum","North Dakota Legislative Redistricting Challenge (Walen)","https://www.democracydocket.com/cases/north-dakota-legislative-redistricting-challenge-walen/",2022-02-16,2023-11-02,"Lawsuit filed by two Republican voters challenging North Dakota’s new legislative districts.",false,false,false,false,true,false,false,true,Decided
Montana,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-montana-01-1.png,"League of Women Voters of Montana v. Knudsen","Montana Voter Registration Penalty Challenge (State Court)","https://www.democracydocket.com/cases/montana-voter-registration-penalty-challenge-state-court/",2023-10-31,undefined,"Lawsuit filed on behalf of League of Women Voters of Montana against Attorney General Austin Knudsen (R), Montana Secretary of State Christi Jacobsen (R) and Commissioner of Political Practices Chris Gallus challenging House Bill 892.",false,false,false,false,false,true,false,false,Filed
Georgia,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-georgia-01-1.png,"International Alliance of Theater Stage Employees Local 927 v. Mashburn","Georgia Absentee Ballot Application Deadline Challenge","https://www.democracydocket.com/cases/georgia-absentee-ballot-application-deadline-challenge/",2023-10-26,undefined,"Lawsuit filed on behalf of the International Alliance of Theater Stage Employees Local 927 against members of the Georgia State Election Board and members of the Fulton County registration and Elections Board challenging Georgia’s absentee ballot application deadline for presidential elections.",false,false,false,false,false,false,true,false,Filed
Louisiana,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-louisiana-01-1.png,"Chisom v. Louisiana","Louisiana Supreme Court Redistricting Challenge","https://www.democracydocket.com/cases/louisiana-supreme-court-redistricting-challenge/",1986-09-19,2023-10-25,"Lawsuit filed in federal court in 1986 by Black voters in Louisiana against the Louisiana governor, secretary of state and commissioner of elections.",false,false,false,false,true,false,false,true,Decided
Massachusetts,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-massachusetts-01.png,"Walters v. Boston City Council","Massachusetts Boston City Council Redistricting Challenge","https://www.democracydocket.com/cases/massachusetts-boston-city-council-redistricting-challenge/",2022-11-02,2023-10-19,"Lawsuit filed by voters and civic local organizations challenging Boston, Massachusetts’s city council map drawn with 2020 census data.",false,false,false,false,true,false,false,false,Decided
North Carolina,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-northcarolina-01-1.png,"In re Appeal of Declaratory Ruling from the State Board of Elections","North Carolina Signature Matching Guidance Challenge","https://www.democracydocket.com/cases/north-carolina-signature-matching-guidance-challenge/",2022-08-22,2023-10-19,"Lawsuit filed by the North Carolina Republican Party and two Republicans appealing the North Carolina State Board of Elections’ decision on signature matching procedures for mail-in ballots.",false,false,false,false,false,false,true,true,Decided
Arizona,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-arizona-01-1.png,"Arizona Alliance for Retired Americans v. Crosby","Arizona Cochise County Hand Count Audit Challenge","https://www.democracydocket.com/cases/arizona-cochise-county-hand-count-audit-challenge/",2022-10-31,2023-10-18,"Lawsuit filed challenging Cochise County’s plan to perform a hand count audit of all early ballots in the upcoming November election.",true,false,false,false,false,false,false,true,Decided
North Carolina,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-northcarolina-01-1.png,"Cooper v. Berger","North Carolina S.B. 749 Challenge","https://www.democracydocket.com/cases/north-carolina-s-b-749-challenge/",2023-10-17,undefined,"Lawsuit filed on behalf of Gov. Roy Cooper (R) against President Pro Tempore of the North Carolina Senate Phillip Berger (R), House Speaker Timothy Moore (R) and North Carolina challenging a power grabbing law, Senate Bill 749.",true,false,false,false,false,false,false,false,Filed
North Carolina,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-northcarolina-01-1.png,"Democracy North Carolina v. Hirsch","North Carolina S.B. 747 Challenge (Democracy North Carolina)","https://www.democracydocket.com/cases/north-carolina-s-b-747-challenge-democracy-north-carolina/",2023-10-17,undefined,"Lawsuit filed by Democracy North Carolina, the North Carolina Black Alliance and the League of Women Voters of North Carolina challenging part of North Carolina’s recently enacted voter suppression law, Senate Bill 747.",true,false,false,false,false,true,false,false,Filed
Arizona,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-arizona-01-1.png,"Arizona Free Enterprise Club v. Fontes","Arizona Drop Boxes Challenge","https://www.democracydocket.com/cases/arizona-drop-boxes-challenge/",2023-10-17,undefined,"Lawsuit filed by a right-wing legal group on behalf of the Arizona Free Enterprise Club and a voter against Arizona Secretary of State Adrian Fontes (D) challenging the use of drop boxes in Arizona.",true,false,false,false,false,false,true,false,Filed
Arizona,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-arizona-01-1.png,"Lake v. Hobbs","Arizona Voting Machines Challenge","https://www.democracydocket.com/cases/arizona-voting-machine-challenge/",2022-04-22,2023-10-16,"Lawsuit filed on behalf of a Republican candidate for governor, Keri Lake, and state Rep. Mark Finchem (R), a candidate for Arizona secretary of state, challenging Arizona’s use of electronic voting machines.",true,false,false,false,false,false,false,true,Decided
North Carolina,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-northcarolina-01-1.png,"Democratic National Committee v. North Carolina State Board of Elections","North Carolina S.B. 747 Challenge (DNC)","https://www.democracydocket.com/cases/north-carolina-s-b-747-challenge-dnc/",2023-10-10,undefined,"Lawsuit filed by the Democratic National Committee and the North Carolina Democratic party challenging multiple provisions of North Carolina’s recently enacted voter suppression law, Senate Bill 747.",true,false,false,false,false,true,false,false,Filed
North Carolina,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-northcarolina-01-1.png,"Deas v. North Carolina State Board of Elections","North Carolina Election Observers and Absentee Ballot Return Deadline Challenge","https://www.democracydocket.com/cases/north-carolina-election-observers-and-absentee-ballot-return-deadline-challenge/",2022-09-09,2023-10-10,"Lawsuit filed by Republicans challenging the North Carolina State Board of Election’s extension of the absentee ballot return deadline for the upcoming November election and its enforcement of regulations on partisan at-large election observers.",false,false,true,false,false,false,true,true,Decided
North Carolina,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-northcarolina-01-1.png,"Voto Latino v. Hirsch","North Carolina S.B. 747 Undeliverable Mail Provision Challenge (Voto Latino)","https://www.democracydocket.com/cases/north-carolina-s-b-747-undeliverable-mail-provision-challenge/",2023-10-10,undefined,"On Tuesday, Oct. 10, Voto Latino, the Watauga County Voting Rights Task Force, Down Home North Carolina and two individual voters filed a federal lawsuit challenging part of North Carolina’s newly enacted voter suppression law, Senate Bill 747.",true,false,false,false,false,true,false,false,Filed
Wisconsin,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-wisconsin-01-1.png,"Wright v. Wisconsin Elections Commission","Wisconsin Legislative Redistricting Challenge (Wright)","https://www.democracydocket.com/cases/wisconsin-legislative-redistricting-challenge-wright/",2023-08-04,2023-10-06,"Petition filed on behalf of Wisconsin voters challenging the state’s legislative maps drawn following the release of 2020 census data.",false,false,false,false,true,false,false,false,Decided
Tennessee,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-tennessee-01-1.png,"Lichtenstein v. Hargett","Tennessee Absentee Ballot Application Felony Challenge","https://www.democracydocket.com/cases/tennessee-absentee-ballot-application-felony-challenge/",2020-08-28,2023-10-05,"Lawsuit filed by civil rights groups against Tennesee officials challenging a state law that makes it a felony to “give[] an application for an absentee ballot to any person” if you are not an employee of an election commission.",false,true,false,false,false,false,true,false,Decided
Alabama,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-alabama-01-1.png,"Rissling v. Bobo","Alabama Absentee Voting Accessibility Challenge II","https://www.democracydocket.com/cases/alabama-absentee-voting-accessibility-challenge-ii/",2023-10-03,undefined,"Lawsuit filed on behalf of four voters who are blind or have a print disability and the National Federation of the Blind of Alabama against absentee election managers for Tuscaloosa, Mobile and Jefferson counties challenging Alabama’s inaccessible absentee voting system for those who are blind or have print disabilities.",false,false,false,false,false,false,true,false,Filed
Wisconsin,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-wisconsin-01-1.png,"Liebert v. Wisconsin Elections Commission","Wisconsin Absentee Ballot Witness Requirement Challenge (Federal Court)","https://www.democracydocket.com/cases/wisconsin-absentee-ballot-witness-requirement-challenge-federal-court/",2023-10-02,undefined,"Lawsuit filed on behalf individual voters challenging a Wisconsin law that requires absentee voters to complete their ballots in the presence of a witness who is a U.S. citizen and can attest to the voter’s eligibility.",false,false,false,false,false,false,true,false,Filed
North Carolina,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-northcarolina-01-1.png,"North Carolina Alliance for Retired Americans v. Hirsch","North Carolina Durational Residency Voting Requirement Challenge","https://www.democracydocket.com/cases/north-carolina-durational-residency-voting-requirement-challenge/",2023-10-02,undefined,"Lawsuit filed by the North Carolina Alliance for Retired Americans challenging a North Carolina law that requires voters to reside in the state for at least 30 days prior to the election in which they seek to vote.",false,false,false,false,false,true,false,false,Filed
Texas,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-texas-01-1.png,"Texas State LULAC v. Elfant","Texas Residency Restriction Law Challenge","https://www.democracydocket.com/cases/texas-residency-restriction-law/",2021-06-22,2023-10-02,"Lawsuit challenging a Texas law that imposes strict residency requirements for voter registration.",false,false,false,false,false,true,false,false,Decided
Arkansas,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-arkansas-01-1.png,"League of Women Voters v. Thurston","Arkansas Mail-in Ballot Rejections Challenge","https://www.democracydocket.com/cases/arkansas-mail-in-ballot-rejections-challenge/",2020-09-22,2023-09-29,"Lawsuit filed on behalf of the League of Women Voters of Arkansas and Arkansas residents against Arkansas Secretary of State John Thurston (R) and members of the Arkansas State Board of Election Commissioners challenging Arkansas laws governing the rejection of mail-in ballots.",false,false,false,false,false,false,true,false,Decided
Montana,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-montana-01-1.png,"Montana Public Interest Research Group v. Jacobsen","Montana Voter Registration Penalty Challenge","https://www.democracydocket.com/cases/montana-double-voter-registration-penalty-challenge/",2023-09-29,undefined,"Lawsuit filed by Montana Public Interest Research Group and the Montana Federation of Public Employees challenging portions of anti-voter law, House Bill 892.",false,false,false,false,false,true,false,false,Filed
Michigan,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-michigan-01-1.png,"Lindsey v. Whitmer","Michigan Voting Rights Constitutional Amendments Challenge","https://www.democracydocket.com/cases/michigan-voting-rights-constitutional-amendments-challenge/",2023-09-28,undefined,"Lawsuit filed  by 11 Republican state legislators seeking to nullify two pro-voting constitutional amendments that were enshrined in the Michigan constitution via voter-approved ballot initiatives in 2018 and 2022, respectively.",false,false,true,false,false,false,true,false,Filed
Wisconsin,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-wisconsin-01-1.png,"Hanson-Hysell v. Wisconsin State Assembly","Wisconsin Supreme Court Justice Janet Protasiewicz Impeachment Challenge","https://www.democracydocket.com/cases/wisconsin-supreme-court-justice-janet-protasiewicz-impeachment-challenge/",2023-09-11,2023-09-26,"Petition filed on behalf of two Wisconsin voters seeking to stop the Wisconsin Legislature from conducting impeachment proceedings against recently elected Wisconsin Supreme Court Justice Janet Protasiewicz.",false,false,false,false,false,false,false,false,Decided
Mississippi,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-mississippi-01-1.png,"Saunders v. Randolph","Mississippi Jackson H.B. 1020 Challenge (State Court)","https://www.democracydocket.com/cases/mississippi-jackson-h-b-1020-challenge-state-court/",2023-04-24,2023-09-21,"Lawsuit filed on behalf of three Jackson, Mississippi residents challenging a newly enacted anti-democratic law, House Bill 1020 that targets Jackson residents.",false,false,false,false,false,false,false,true,Decided
Texas,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-texas-01-1.png,"Mealer v. Hidalgo","Texas Harris County Judge Election Contest","https://www.democracydocket.com/cases/texas-harris-county-judge-election-contest/",2023-01-06,2023-09-21,"Election contest filed by Alexandra Mealer, the Republican candidate for the Harris County, Texas judge position, against her Democratic opponent, Lina Hidalgo.",false,false,false,true,false,false,false,true,Decided
Pennsylvania,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-pennslyvania-01-1.png,"Keohane v. Delaware County Board of Elections","Pennsylvania Delaware County 2023 Provisional Ballot Counting Challenge","https://www.democracydocket.com/cases/pennsylvania-delaware-county-2023-provisional-ballot-counting-challenge/",2023-05-25,2023-09-21,"Lawsuit filed on behalf of three Delaware County, Pennsylvania voters against the Delaware County Board of Elections challenging the board’s decision to not count provisional ballots cast in the May 16, 2023 municipal primary election.",true,false,false,false,false,false,true,true,Decided
New York,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-newyork-01-1.png,"Stefanik v. Hochul","New York Early Mail Voter Act Challenge","https://www.democracydocket.com/cases/new-york-early-mail-voter-act-challenge/",2023-09-20,undefined,"Lawsuit filed on behalf of the Republican National Committee (RNC), National Republican Congressional Committee, New York Republican State Committee, Conservative Party of New York and other Republicans challenging the Early Mail Voter Act, New York’s new mail-in voting law.",false,false,false,false,false,false,true,false,Filed
Alaska,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-alaska-01-1.png,"Public Interest Legal Foundation v. Meyer","Alaska Voter Purge","https://www.democracydocket.com/cases/alaska-voter-purge/",2022-01-20,2023-09-20,"Lawsuit filed by a conservative legal group, the Public Interest Legal Foundation (PILF), arguing that Alaska must release documents related to the maintenance of the state’s voter lists.",true,false,false,false,false,true,false,false,Decided
Ohio,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-ohio-01-1.png,"Ohioans United for Reproductive Rights v. Ohio Ballot Board","Ohio 2023 Reproductive Freedom Amendment Ballot Language Challenge","https://www.democracydocket.com/cases/ohio-2023-reproductive-freedom-amendment-ballot-language-challenge/",2023-08-28,2023-09-19,"Lawsuit filed on behalf of Ohioans United for Reproductive Rights and others challenging the language adopted by the Ohio Ballot Board for a citizen-led abortion rights amendment that would preserve the right to reproductive freedom.",true,false,false,false,false,false,false,false,Decided
Arkansas,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-arkansas-01-1.png,"Arkansas Voter Integrity Initiative v. Thurston","Arkansas Voting Machines Challenge","https://www.democracydocket.com/cases/arkansas-voting-machines-challenge/",2022-12-19,2023-09-12,"Lawsuit brought by the Arkansas Voter Integrity Initiative (AVII) against Arkansas Secretary of State John Thurston (R), the Arkansas State Board of Election Commissioners and Election Systems and Software LLC.",true,false,false,false,false,false,false,true,Decided
Minnesota,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-minnesota-01-1.png,"Minnesota Voters Alliance v. Ellison","Minnesota Election Misinformation Penalty Challenge","https://www.democracydocket.com/cases/minnesota-election-misinformation-penalty-challenge/",2023-09-11,undefined,"Lawsuit filed on behalf of the Minnesota Voters Alliance and three Minnesota residents challenging a law that seeks to combat election misinformation, voter intimidation and harassment.",true,false,false,false,false,false,false,false,Filed
Texas,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-texas-01-1.png,"Richardson v. Flores","Texas Signature Matching Challenge","https://www.democracydocket.com/cases/texas-signature-matching-challenge/",2019-08-07,2023-09-07,"Lawsuit challenging the Texas’ standardless signature verification process for mail-in ballots.",false,false,false,false,false,false,true,false,Decided
Ohio,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-ohio-01-1.png,"League of Women Voters of Ohio v. LaRose","Ohio Congressional Redistricting Challenge (LWVO II)","https://www.democracydocket.com/cases/ohio-congressional-redistricting-challenge-lwvo-ii/",2022-03-22,2023-09-07,"Lawsuit filed on behalf of the League of Women Voters of Ohio and multiple voters challenging Ohio’s revised congressional map drawn with 2020 census data.",false,false,false,false,true,false,false,false,Decided
Ohio,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-ohio-01-1.png,"Neiman v. LaRose","Ohio Congressional Redistricting Challenge (Neiman)","https://www.democracydocket.com/cases/ohio-congressional-redistricting-challenges-neiman/",2022-03-21,2023-09-07,"Lawsuit filed on behalf of voters challenging Ohio’s revised congressional map drawn with 2020 census data.",false,false,false,false,true,false,false,false,Decided
Arizona,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-arizona-01-1.png,"Mast v. Hobbs","Arizona 2022 Election Decertification Challenge II","https://www.democracydocket.com/cases/arizona-2022-election-decertification-challenge-ii/",2023-09-06,undefined,"Lawsuit filed on behalf of an “Independent” voter, David Mast and Republican voter and Cochise County Supervisor Tom Crosby (who filed in his personal capacity) seeking to decertify the Maricopa County results of the 2022 General Election in Arizona for four races.",false,false,false,true,false,false,true,false,Filed
Wisconsin,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-wisconsin-01-1.png,"Braun v. Wisconsin Elections Commission","Wisconsin Voter Registration Form Challenge","https://www.democracydocket.com/cases/wisconsin-voter-registration-form-challenge/",2022-09-15,2023-09-05,"Lawsuit filed by a conservative legal organization on behalf of a voter challenging its approval of a voter registration form for failing to comply with Wisconsin law.",false,false,false,false,false,true,false,false,Decided
Kentucky,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-kentucky-01.png,"Lostutter v. Beshear","Kentucky Voting Rights Restoration Scheme Challenge","https://www.democracydocket.com/cases/kentucky-voting-rights-restoration-scheme-challenge/",2018-10-29,2023-08-31,"Lawsuit filed by eight disenfranchised individuals with prior felony convictions challenging Kentucky’s voting rights restoration scheme.",false,true,false,false,false,true,false,false,Decided
New York,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-newyork-01-1.png,"Amedure v. State of New York","New York 2023 Absentee Voting Law A.B. 7931 Challenge","https://www.democracydocket.com/cases/new-york-2023-absentee-voting-law-ab7931-challenge/",2023-08-31,undefined,"Lawsuit filed by the New York Republican Party and other conservative plaintiffs challenging an absentee voting law, Assembly Bill 7931.",true,false,false,false,false,false,true,false,Filed
Oregon,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-oregon-01-1.png,"Knopp v. Griffin-Valade","Oregon Republican State Senators Disqualification Challenge","https://www.democracydocket.com/cases/oregon-republican-state-senators-disqualification-challenge/",2023-08-25,undefined,"Lawsuit filed on behalf of Republican state senators challenging an administrative rule that bars lawmakers who have more than ten unexcused absences during the 2023 legislative session from seeking reelection in 2024.",false,false,false,false,false,false,false,false,Filed
Arizona,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-arizona-01-1.png,"Mast v. Hobbs","Arizona 2022 Election Decertification Challenge","https://www.democracydocket.com/cases/arizona-2022-election-decertification-challenge/",2023-08-17,2023-08-24,"Lawsuit filed directly in the Arizona Supreme Court seeking to decertify the 2022 Arizona General Election.",false,false,false,true,false,false,false,true,Decided
Pennsylvania,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-pennslyvania-01-1.png,"CASA v. Wheeler","Pennsylvania York County English-Only Challenge","https://www.democracydocket.com/cases/pennsylvania-york-county-english-only-challenge/",2022-10-20,2023-08-23,"Lawsuit filed by CASA against members of the York County Board of Elections challenging the county’s English-only election practices despite its substantial Puerto Rican population.",true,false,false,false,false,false,false,true,Decided
Pennsylvania,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-pennslyvania-01-1.png,"PA Fair Elections v. Pennsylvania Department of State","Pennsylvania Military and Overseas Voter Registration Administrative Complaint","https://www.democracydocket.com/cases/pennsylvania-military-and-overseas-voter-registration-administrative-complaint/",2023-08-21,undefined,"Administrative complaint filed on behalf of a right-wing “election integrity” group, PA Fair Elections and Heather Honey against the Pennsylvania Department of State and Secretary of the Commonwealth Al Schmidt (R).",false,false,false,false,false,true,false,false,Filed
Indiana,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-indiana-01-1.png,"Tully v. Okeson","Indiana Mail-in Voting Restrictions Challenge","https://www.democracydocket.com/cases/indiana-mail-in-voting-restrictions-challenge/",2020-04-29,2023-08-15,"Lawsuit filed on behalf of Indiana Vote By Mail (Indiana VBM) and Indiana voters under 65 who were eligible and qualified to vote in the November  2020 general election, but were not entitled to vote using a mail-in ballot under state law.",false,false,false,false,false,false,true,false,Decided
Georgia,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-georgia-01-1.png,"Georgia v. Trump","Georgia Trump 2020 Election Subversion Indictment","https://www.democracydocket.com/cases/georgia-former-president-donald-trump-indictment/",2023-08-14,undefined,"Indictment of former President Donald Trump by a grand jury in Fulton County, Georgia for his efforts to overturn the 2020 presidential election.",false,false,false,false,false,false,false,false,Filed
