id,publishDate,title,url,publication,authors,authorList,image,sentence,country,bias,mediaOutletType,hasElias,hasDemocracyDocket
178187,2020-07-14,Hillary Clinton says the US must 'be ready' for the possibility that Trump will not 'go quietly',https://www.dailymail.co.uk/news/article-8520363/Hillary-Clinton-says-ready-possibility-Trump-not-quietly.html,Daily Mail,"Harriet Alexander, Us Senior Features Writer, Chris Jewers, Assistant Foreign News Editor","Assistant Foreign News Editor, Chris Jewers, Harriet Alexander, Us Senior Features Writer",https://i.dailymail.co.uk/1s/2020/07/14/07/30738000-0-image-a-74_1594707213852.jpg,She said she works with Democracy Docket to support lawsuits 'to make the vote available'.,United Kingdom,Center Right,Local News Outlet,False,True
178169,2025-03-09,Trump confirms retribution campaign against law firms that clash with his agenda,https://www.independent.co.uk/news/world/americas/us-politics/trump-law-firms-executive-order-interview-b2711843.html,The Independent,,,"https://static.independent.co.uk/2025/03/09/20/47/US-President-Trump-signs-executive-orders-at-White-House-dok5ef17.jpeg?trim=0,0,0,0&width=1200&height=800&crop=1200:800","Since 2020, Elias has led the voting rights and civil rights litigation-tracking platform Democracy Docket, which has tracked hundreds of Trump-related cases.",United Kingdom,Center Left,Local News Outlet,True,True
178104,2023-06-09,US supreme court ruling could upend voting maps in boost for Democrats,https://www.theguardian.com/us-news/2023/jun/09/us-supreme-court-alabama-voting-maps-democrats,The Guardian,"Alice Herman, Sam Levine","Alice Herman, Sam Levine","https://i.guim.co.uk/img/media/5b3e45aaca2302cd5fdab58084dfe6c23a8d5029/0_0_8192_4918/master/8192.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&precrop=40:21,offset-x50,offset-y0&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctYWdlLTIwMjMucG5n&enable=upscale&s=502826124e7aae1c00e25fb32f87690a","There are 31 cases with section 2 claims pending in 10 states, including Georgia, Mississippi and Texas, according to a tally by Democracy Docket, a left-leaning organization.",United Kingdom,Center Left,Local News Outlet,False,True
178051,2020-12-05,Trump's latest batch of election lawsuits fizzle as dozens of losses pile up,https://www.theguardian.com/us-news/2020/dec/04/trump-election-lawsuits-losses-michigan-nevada-georgia-arizona,The Guardian,,,"https://i.guim.co.uk/img/media/724b62c7c2c143d8832f184f55f71ba8fd2b1a8d/0_300_4500_2700/master/4500.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&precrop=40:21,offset-x50,offset-y0&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctYWdlLTIwMjAucG5n&enable=upscale&s=232aeea68b3e5672b713b682fd891da8","The advocacy group Democracy Docket put Trump’s losses even higher, tweeting on Friday that Trump’s team had lost 46 post-election lawsuits following several fresh losses in several states on Friday.",United Kingdom,Center Left,Local News Outlet,False,True
177972,2025-09-24,The Democratic superlawyer Trump can’t silence: ‘We are in the break-glass moment of American history’,https://www.theguardian.com/us-news/2025/sep/24/marc-elias-trump-democrats-retribution,The Guardian,Rachel Leingang,Rachel Leingang,"https://i.guim.co.uk/img/media/06bf0a3ee67044c4d3596b7d8c207c9d7b594086/375_0_3750_3000/master/3750.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&precrop=40:21,offset-x50,offset-y0&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=a5edc55f8e66dca84811090b382a1d11","Anyone who tells you that Donald Trump targets them and they don’t care, I think they’re just lying to you Marc Elias

Despite not posting on X anymore – his decision to stop using the platform prompted conspiracy theories from the right – he is far from quiet about his work and his opinions on the Trump administration.",United Kingdom,Center Left,Local News Outlet,True,True
178282,2022-11-02,Arizona judge orders armed election monitors to stay 250 feet from drop boxes,https://www.dailymail.co.uk/news/article-11379171/Arizona-judge-orders-armed-election-monitors-stay-250-feet-drop-boxes.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,Daily Mail,"Rob Crilly, Senior U.S. Political Reporter For Dailymail.Com In Phoenix",Rob Crilly,https://i.dailymail.co.uk/1s/2022/11/01/23/64054681-0-image-a-2_1667345975094.jpg,"Leslie Hanson, a member of the League of Women Voters of Arizona, told the court she will not use a drop box this year because of reports of armed watchers

'It's disconcerting,' she said, according to a Twitter thread maintained by Democracy Docket.

'It's unsettling to know that there are people watching you and thinking that you're violating the law and they're armed.'",United Kingdom,Center Right,Local News Outlet,False,True
178186,2020-07-14,Hillary Clinton says the US must 'be ready' for the possibility that Trump will not 'go quietly',https://www.dailymail.co.uk/news/article-8520363/Hillary-Clinton-says-ready-possibility-Trump-not-quietly.html?ns_mchannel=rss&ito=1490&ns_campaign=1490,Daily Mail,"Harriet Alexander, Us Senior Features Writer, Chris Jewers, Assistant Foreign News Editor","Assistant Foreign News Editor, Chris Jewers, Harriet Alexander, Us Senior Features Writer",https://i.dailymail.co.uk/1s/2020/07/14/07/30738000-0-image-a-74_1594707213852.jpg,She said she works with Democracy Docket to support lawsuits 'to make the vote available'.,United Kingdom,Center Right,Local News Outlet,False,True
178132,2025-10-27,Trump demands ‘no early voting’ in latest threat to upcoming elections,https://www.independent.co.uk/news/world/americas/us-politics/trump-early-voting-california-new-york-b2853259.html,The Independent,,,https://static.independent.co.uk/s3fs-public/thumbnails/image/2017/01/27/15/trumpvote.jpg?width=1200&height=800&crop=1200:800,"And now, he’s planning to get revenge in 2026,” according to elections attorney Marc Elias, founder of Democracy Docket.",United Kingdom,Center Left,Local News Outlet,True,True
178101,2023-01-09,Republicans filed record number of anti-voting lawsuits in 2022 – report,https://www.theguardian.com/us-news/2023/jan/09/republicans-anti-voting-lawsuits-2022,The Guardian,,,"https://i.guim.co.uk/img/media/efe0cc8c362d0b4318284de4e88cdf400891ec09/0_67_4792_2875/master/4792.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&precrop=40:21,offset-x50,offset-y0&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctYWdlLTIwMjMucG5n&enable=upscale&s=d7b53ebda837d895e741ffd81040adba","Last year, Republican party groups filed 23 democracy-related lawsuits, according to a new report by Democracy Docket, a progressive media platform that tracks voting litigation.",United Kingdom,Center Left,Local News Outlet,False,True
178052,2024-10-16,Inside the Republican legal blitz to sow election doubt: ‘The claims are garbage’,https://www.theguardian.com/us-news/2024/oct/16/republican-litigation-election,The Guardian,Sam Levine,Sam Levine,"https://i.guim.co.uk/img/media/64e1a708ec85ab097e9d6fe30eac8ddd1bdd9ff7/0_400_6000_3600/master/6000.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&precrop=40:21,offset-x50,offset-y0&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctYWdlLTIwMjQucG5n&enable=upscale&s=3bff1748faa6f8498d3f9c2d9bc86fd3","From 2023 until September of this year, the Republican National Committee (RNC) and local affiliates have filed or are involved in at least 72 cases, according to an analysis by Democracy Docket, a left-leaning voting rights news platform founded by the Democratic lawyer Marc Elias.",United Kingdom,Center Left,Local News Outlet,True,True
178048,2020-11-07,Millions of Americans have risen up and said: democracy won't die on our watch,https://www.theguardian.com/commentisfree/2020/nov/07/americans-democracy-trump,The Guardian,Carol Anderson,Carol Anderson,"https://i.guim.co.uk/img/media/a4647be8e69943f79f097168302004b0203ffc0d/0_208_6240_3744/master/6240.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&precrop=40:21,offset-x50,offset-y0&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctb3BpbmlvbnMtYWdlLTIwMjAucG5n&enable=upscale&s=a1c9db4cf40133be1d45336478c45792","With the help of an impressive array of legal and grassroots warriors, like the NAACP Legal Defense Fund, the ACLU, the League of Women Voters, the Lawyers’ Committee for Civil Rights, March for Our Lives, FairFight for Action, Black Voters Matter Fund, Voto Latino, the Native American Rights Fund, Asian Americans Advancing Justice, the Leadership Conference on Civil Rights, the New Georgia Project, the NAACP, Democracy Docket, VoteRiders, and more, Americans fought for this democracy.",United Kingdom,Center Left,Local News Outlet,False,True
176293,2020-11-02,2020 election lawsuits and ballot access: what you need to know,https://www.politifact.com/article/2020/nov/02/2020-election-lawsuits-and-ballot-access-what-you-/,Politifact,"Amy Sherman, November","Amy Sherman, November",https://static.politifact.com/CACHE/images/politifact/photos/miami_dade_north_miami_ballot_drop_off/8ff3a1fa9ddd379aec727afb0d7ea219.jpg,"The left’s Democracy Docket, compiled by lawyer Marc Elias and his team, showed active cases in nine states.",United States,Center,Web Publication,True,True
175931,2025-01-07,Counting of 2024 presidential race ballots is over,https://www.politifact.com/factchecks/2025/jan/07/donald-trump/congress-certified-trumps-2024-win-the-next-day-he/,Politifact,"Amy Sherman, January","Amy Sherman, January",https://static.politifact.com/politifact/rulings/meter-false.jpg,"Certified state house races in Minnesota and Georgia also remain in litigation, according to Democracy Docket, a voting rights news platform that tracks election litigation.",United States,Center,Web Publication,False,True
175390,2023-05-25,"Gov. DeSantis Signs Election Reforms Into Law, Elias Law Group and NAACP Sue Claiming Racism, per Usual",https://redstate.com/brutalbrittany/2023/05/25/gov-desantis-signs-election-reforms-into-law-elias-law-group-and-naacp-sue-claiming-racism-per-usual-n751118,Red State,"Brittany Sheehan, Teri Christoph, Bob Hoge, Rusty Weiss, Tommy Sears","Bob Hoge, Brittany Sheehan, Rusty Weiss, Teri Christoph, Tommy Sears",https://media.townhall.com/townhall/reu/ha/2023/73/3eaa2725-2662-4c11-87ae-13c40b91deb3.png,"In a statement for the plaintiffs, Elias Law Group wrote:

SB 7050’s restrictions on voter registration infringe upon third-party voter registration organizations’ constitutional rights to free speech and association and violate the Fourteenth Amendment to the United States Constitution because they were purposefully enacted, at least in part, with a racially discriminatory intent to discriminate against Black and Hispanic voters and have the effect . . .",United States,Right,Web Publication,True,True
175358,2023-04-20,Marc Elias and the DCCC Hit With FEC Complaint Over Alleged Misclassified Payments,https://redstate.com/smoosieq/2023/04/20/marc-elias-and-the-dccc-hit-with-fec-complaint-over-alleged-misclassified-payments-n733826,Red State,"Susie Moore, Teri Christoph, Bob Hoge, Rusty Weiss, Tommy Sears","Bob Hoge, Rusty Weiss, Susie Moore, Teri Christoph, Tommy Sears",https://media.townhall.com/townhall/reu/ha/2009/64/fd255bce-9231-45fe-b077-d504ed079251@news.ap.org.jpg,"Nevertheless:

The Elias Law Group was paid nearly $5.2 million by the DCCC from Oct. 2021 to July 2022 for legal services classified as “RECOUNT LEGAL SVCS,” despite no federal recounts taking place in that time period, and months to go until the Nov. 2022 midterm elections, according to an FEC complaint brought on April 10 by the Committee to Defeat the President, an anti-Biden Super PAC.",United States,Right,Web Publication,True,True
175346,2023-04-12,Report: Trouble in Paradise as DNC Makes Shocking Move Concerning ‘Super Lawyer’ Marc Elias,https://redstate.com/sister-toldjah/2023/04/12/report-trouble-in-paradise-as-dnc-makes-shocking-move-concerning-super-lawyer-marc-elias-n730178,Red State,"Sister Toldjah, Teri Christoph, Bob Hoge, Rusty Weiss, Tommy Sears","Bob Hoge, Rusty Weiss, Sister Toldjah, Teri Christoph, Tommy Sears",https://media.townhall.com/townhall/reu/ha/2017/297/4cff4a59-9cb2-4016-ab15-34f5bcd0c8ba.jpg,"Marc Elias has for a long time now been the go-to “super lawyer” for Democrat groups including the Democratic Congressional Committee, the Democratic Senatorial Campaign Committee, and the Democratic National Committee, most often in cases involving election law, election results/challenges, redistricting, etc.",United States,Right,Web Publication,True,True
175321,2024-03-06,How the Left Plans to Turn Ohio Blue,https://pjmedia.com/stacey-lennox/2024/03/06/how-the-left-plans-to-turn-ohio-blue-n4927049,PJ Media,"Stacey Lennox, Scott Pinsker, Victoria Taft, Kevin Downey Jr., Catherine Salgado, Rick Moran, Sarah Anderson","Catherine Salgado, Kevin Downey Jr., Rick Moran, Sarah Anderson, Scott Pinsker, Stacey Lennox, Victoria Taft",https://media.townhall.com/cdn/hodl/2019/140/162e81ee-ff97-4f6e-ae55-eb09f97ad6f7.png,"Advertisement

Lawyers under the umbrella of Democracy Docket have filed suit against Yost.",United States,Right,Web Publication,True,True
175247,2024-04-19,‘Very Scary’: Hillary Clinton Suggests ‘What Trump Really Wants’ Is To ‘Kill His Opposition’,https://dailycaller.com/2024/04/19/very-scary-hillary-clinton-suggests-trump-wants-kill-opposition/,Daily Caller,Jason Cohen,Jason Cohen,"https://images.dailycaller.com/image/width=1280,height=549,fit=cover,format=webp,f=auto/https://cdn01.dailycaller.com/wp-content/uploads/2024/04/Screenshot-2024-04-19-12.25.56-PM-e1713544075449.png","Clinton, on the “Democracy Docket” podcast, accused Trump of modeling himself after Russian President Vladmir Putin and other global dictators, suggesting her former opponent wants to commit heinous acts against those who oppose him.",United States,Right,Web Publication,True,True
175246,2024-04-19,Hillary Clinton Says Trump Wants to Kill His Opposition (VIDEO),https://www.thegatewaypundit.com/2024/04/hillary-clinton-says-trump-wants-kill-his-opposition/?utm_source=rssutm_medium=rssutm_campaign=hillary-clinton-says-trump-wants-kill-his-opposition,Gateway Pundit,Cristina Laila,Cristina Laila,https://www.thegatewaypundit.com/wp-content/uploads/2024/04/img_6302.jpg,"Hillary Clinton described Joe Biden and the Democrat party and she trashed Trump during her podcast interview with Marc Elias, a far-left lawyer who helped Hillary purchase the fake Trump-Russia dossier in 2016.",United States,Right,Web Publication,True,True
175242,2024-04-19,Unhinged Hillary Clinton Accuses Trump of Wanting to Be Like Putin and Murder His Enemies,https://redstate.com/bobhoge/2024/04/19/unhinged-hillary-claims-trump-wants-to-be-like-vlad-and-kill-his-enemies-n2173047,Red State,"Bob Hoge, Teri Christoph, Rusty Weiss, Tommy Sears","Bob Hoge, Rusty Weiss, Teri Christoph, Tommy Sears",https://media.townhall.com/cdn/hodl/2023/108/0a5c7e07-5ca5-42b9-9c0f-273c5b45e53b.jpg,"Appearing on election lawyer Marc Elias' podcast ""Democracy Docket"" in an episode that dropped Friday, former Secretary of State Hillary Clinton whined about her 2016 election loss and hurled baseless charges against former President Donald Trump, accusing him of wanting to be like Russian strongman Vladimir Putin and murder his enemies.",United States,Right,Web Publication,True,True
175231,2024-04-22,"Hillary Clinton Desperate, Says Trump Wants to 'Kill His Opposition' in Wild Rant",https://www.westernjournal.com/hillary-clinton-desperate-says-trump-wants-kill-opposition-wild-rant/,The Western Journal,"Rachel M. Emmanuel, Michael Schwarz, C. Douglas Golden, Samuel Short, Jack Davis, Randy Desoto, Bryan Chai, Rachel Emmanuel Has Served As The Director Of Content On A Republican Congressional Campaign, Writes Content For A Popular Conservative Book Franchise., Rachel M. Emmanuel Has Served As The Director Of Content On A Republican Congressional Campaign","Bryan Chai, C. Douglas Golden, Jack Davis, Michael Schwarz, Rachel M. Emmanuel, Randy Desoto, Samuel Short",https://www.westernjournal.com/wp-content/uploads/2024/04/hillary-sbs-trump-for-april-22-2024.jpg,"Speaking Friday on the liberal podcast “Democracy Docket,” hosted by the infamous Democratic election attorney Marc Elias, the former Democratic presidential candidate unleashed a delusional diatribe against the 45th president, making wild accusations that sounded like a recap of a fever dream she may have had in November 2016 — and showed how desperate she is to smear Trump as the presidential election nears.",United States,Right,Web Publication,True,True
175160,2022-12-22,"GOP AG Candidate Gets Huge News in Court, Election Case Allowed to Proceed on 4 Counts",https://ijr.com/gop-ag-candidate-gets-huge-news-court-election-case-allowed-proceed-4-counts/,Independent Journal Review,,,https://ijr.com/wp-content/uploads/2022/12/GOP-candidates.jpg,"Hamadeh, who lost to Democrat Kris Mayes by a meager 511 votes in the November midterm elections, will have his day in court on Friday, according to court documents obtained by Democracy Docket.",United States,Center Right,Web Publication,False,True
175099,2022-11-08,Desperate Fetterman Turns to Russia Hoaxer Marc Elias to Force Pennsylvania to Count Undated Mail-in Ballots,https://www.breitbart.com/midterm-election/2022/11/08/desperate-fetterman-turns-to-russia-hoaxer-marc-elias-to-force-pennsylvania-to-count-undated-mail-in-ballots/,Breitbart,Joel B. Pollak,Joel B. Pollak,https://media.breitbart.com/media/2022/11/John-Fetterman-Getty-640x335.jpg,"The complaint was filed by the Elias Law Group, which split from the Democrat-aligned Perkins Coie law firm ahead of a criminal indictment of former Hillary Clinton campaign lawyer and former Perkins Coie partner Michael Sussmann by Special Counsel John Durham in his investigation into the origins of the “Russia collusion” hoax.",United States,Right,Web Publication,True,True
175049,2022-10-22,"A Special ""Thank You"": Far Left ""Democracy Docket"" Points Out Stellar Conservatives in the 2022 Mid-terms -- Plus: Extensive List of Election Fraud Evidence",https://www.thegatewaypundit.com/2022/10/special-thank-far-left-democracy-docket-points-stellar-conservatives-2022-mid-terms-plus-extensive-list-election-fraud-evidence/,Gateway Pundit,Brian Lupo,Brian Lupo,https://www.thegatewaypundit.com/wp-content/uploads/trump-thmbs-up-1200x630.jpg,"And what really terrifies the Democrats is the “recent history of electing moderate Republicans to statewide office” in “deep blue states”, according to Democracy Docket:

Connecticut: Dominic Rapini for secretary of state

Maryland: Dan Cox for governor and Michael Peroutka for attorney general

Massachusetts: Geoff Diehl for governor, Rayla Campbell for secretary of state

New York: Lee Zeldin, a current US Representative, is running for governor and voted against certifying 2020 results

Vermont: H. Brooke Paige for secretary of state

They also list the “closely divided states”:",United States,Right,Web Publication,False,True
148737,2025-07-25,The Supreme Court Majority Are MAGA Sycophants,https://dianeravitch.net/2025/07/25/the-supreme-court-majority-are-maga-sycophants/,Diane Ravitch,,,https://dianeravitch.net/wp-content/uploads/2017/12/diane.jpg?w=200,SCOTUS greenlighted his seizure of USAID and approved his evisceration of the Education Department.,United States,Center Left,Independent Journalism,False,True
174831,2024-05-09,"Hillary Clinton Says Trump is Hitler, Will Lock Up His Political Opponents and End All US Elections as We Know It (VIDEO)",https://www.thegatewaypundit.com/2024/05/hillary-clinton-says-trump-is-trying-lock-up/?utm_source=rss&utm_medium=rss&utm_campaign=hillary-clinton-says-trump-is-trying-lock-up,Gateway Pundit,Cristina Laila,Cristina Laila,https://www.thegatewaypundit.com/wp-content/uploads/2024/05/0-59-1200x630.jpg,"pic.twitter.com/MPcT5crC2Z — Charlie Kirk (@charliekirk11) May 9, 2024

Hillary made similar remarks last month during her podcast interview with Marc Elias, a far-left lawyer who helped Hillary purchase the fake Trump-Russia dossier in 2016.",United States,Right,Web Publication,True,True
174690,2024-05-11,"RNC, Wisconsin GOP Join Lawsuit in State Supreme Court Banning Ballot Drop Boxes, Arguments Begin Monday",https://redstate.com/beccalower/2024/05/11/rnc-wisconsin-gop-join-lawsuit-in-state-supreme-court-banning-drop-boxes-oral-arguments-begin-monday-n2174057,Red State,"Becca Lower, Bob Hoge, Teri Christoph, Rusty Weiss, Tommy Sears","Becca Lower, Bob Hoge, Rusty Weiss, Teri Christoph, Tommy Sears",https://media.townhall.com/cdn/hodl/2020/302/67d3dd38-175e-411a-97ec-2a3c89887a69.jpg,"More on that in a minute.

Advertisement

via Democracy Docket:

The Wisconsin Supreme Court will hold oral argument on Monday to decide whether election officials can reinstate secure ballot drop boxes for the 2024 election.",United States,Right,Web Publication,False,True
174646,2024-07-08,"Report: Democrat Election Lawyer, Russia Hoaxer Marc Elias Backs 'Secretive' Media Network in Arizona",https://www.breitbart.com/politics/2024/07/08/democrat-election-lawyer-russia-hoaxer-marc-elias-backs-secretive-media/,Breitbart,Joel B. Pollak,Joel B. Pollak,https://media.breitbart.com/media/2020/04/AP_19022609804217-640x335.jpg,"Marc Elias, the Democrat lawyer behind the Russia collusion hoax in 2016 and the push for vote-by-mail in 2020, is backing a “secretive local media network” in Arizona whose purpose is to boost Democratic candidates on social media.",United States,Right,Web Publication,True,True
174406,2021-08-23,Crooked Clinton Lawyer Who Paid for Steele Dossier Opens New Firm ‘Because Our Democracy Is at Risk',https://pjmedia.com/news-and-politics/matt-margolis/2021/08/23/crooked-clinton-lawyer-who-paid-for-steele-dossier-opens-new-firm-because-our-democracy-is-at-risk-n1472025,PJ Media,"Matt Margolis, Scott Pinsker, Victoria Taft, Kevin Downey Jr., Catherine Salgado, Rick Moran, Sarah Anderson","Catherine Salgado, Kevin Downey Jr., Matt Margolis, Rick Moran, Sarah Anderson, Scott Pinsker, Victoria Taft",https://media.townhall.com/townhall/reu/ha/2009/65/b8b7d048-dfa8-4181-ac41-48b492596e33@news.ap.org.jpg,"Elias’s connection to the attempted cover-up of the dossier’s funding makes the news of his departure more interesting because he’s opening up his own firm, the Elias Law Group, because, Elias says, “our democracy is at risk and it is the most effective way for me to fight back.”",United States,Right,Web Publication,True,True
174404,2021-08-23,Clinton Lawyer Featured In Steele Dossier Scandal Opens Firm With Focus On Ethics and Campaign Disclosures,https://jonathanturley.org/2021/08/23/clinton-lawyer-featured-in-steele-dossier-scandal-opens-firm-with-focus-on-ethics-and-campaign-disclosures/,Jonathan Turley,,,https://jonathanturley.org/wp-content/uploads/2021/08/Medieval_knight_puppets_from_Hortus_Deliciarum-300x139.jpg,"We previously discussed the controversial career of Marc Elias, a partner at Perkins Coie, who featured prominently in the alleged concealment of the Clinton campaign’s funding of the Steele Dossier.",United States,Center Right,Independent Journalism,True,True
